LANGUAGE,English,French
STR_R3F_FRF2_LIB,"FRF2: Repeating rifle model F2. FRF2 is a 7.62mm caliber NATO manual repetition. It is equipped with a heat resistant tube that avoids the excessive heating of the barrel during firing, and improves the accuracy of the gun. Its effective range is 800m and the initial speed of its projectile is 830 m/s.","FRF2 : Fusil à répétition modèle F2. Le FRF2 est un calibre 7.62mm OTAN à répétition manuelle. Il est équipé d'un tube anti-calorique qui évite l'echauffement excessif du canon lors tirs, et ameliore la précision du fusil.  Sa portée efficace est de 800m et la Vitesse initiale de ses projectiles est de 830 m/s."
STR_R3F_FRF2_DES, "FrF2 camo","FrF2 camo"

STR_R3F_PGM_Hecate_II,"PGM Hecate II","PGM Hecate II"
STR_R3F_PGM_Hecate_II_DESC,"PGM Hecate II Riffle","Fusil PGM Hecate II"
STR_R3F_PGM_Hecate_II_LIB,"PGM Hecate II is a precision bolt action rifle manufactured by PGM precision and size 12.7. It is mainly intended to use anti-material. Its practical significance is 1800m. For efficiency, it can use Piercing Explosive Incendiary Ammunition (IEP).","Le PGM Hecate II est un fusil de précision à verrou fabriqué par PGM précision et de calibre 12.7. Il est principalement déstiné à un usage anti-materiel. Sa portée pratique est de 1800m. Pour plus d'efficacité, il peut utiliser des munitions Perforantes Explosives Incendiaires (P.E.I)."
STR_R3F_PGM_Hecate_II_DES,"PGM Hecate II camo","PGM Hecate II camo"

STR_R3F_PGM_Hecate_II_POLY,"PGM Polymer","PGM Polymere"
STR_R3F_PGM_Hecate_II_POLY_DESC,"PGM Hecate II Riffle","Fusil PGM Hecate II"
STR_R3F_PGM_Hecate_II_POLY_LIB,"PGM Hecate II is a precision bolt action rifle manufactured by PGM precision and size 12.7. It is mainly intended to use anti-material. Its practical significance is 1800m. For efficiency, it can use Piercing Explosive Incendiary Ammunition (IEP).","Le PGM Hecate II est un fusil de précision à verrou fabriqué par PGM précision et de calibre 12.7. Il est principalement déstiné à un usage anti-materiel. Sa portée pratique est de 1800m. Pour plus d'efficacité, il peut utiliser des munitions Perforantes Explosives Incendiaires (P.E.I)."

STR_R3F_M107,"Barrett M107","Barrett M107"
STR_R3F_M107_DESC,"Barrett M107 Riffle","Fusil Barrett M107"
STR_R3F_M107_LIB,"M107 is a heavy sniper rifle manufactured by Barrett and size 12.7. It is mainly intended to use anti-material. Its practical significance is 1800m. For efficiency, it can use Piercing Explosive Incendiary Ammunition (IEP).","Le M107 est un fusil de précision lourd fabriqué par Barrett et de calibre 12.7. Il est principalement déstiné à un usage anti-materiel. Sa portée pratique est de 1800m. Pour plus d'efficacité, il peut utiliser des munitions Perforantes Explosives Incendiaires (P.E.I)."
STR_R3F_M107_DES,"Barrett M107 camo","Barrett M107 camo"


STR_R3F_Minimi, "Minimi Para","Minimi Para"
STR_R3F_Minimi_DESC,"Airborne FN Minimi","FN Minimi Para"
STR_R3F_Minimi_LIB,"The Minimi, wich means 'MINI-MItraileuse', was developped during the 70's by FN Herstal, in Belgium. It can fire 200 5.56 rounds magazine. It's used for defensive and offensive purpose.","La Minimi, qui veut dire MINI-MItraileuse, a été inventée dans les années 70 par la firme nationale de Herstal en Belgique. Elle peut tirer des chargeurs de 200 cartouches en 5.56mm. Elle est destinée à une utilisation défensive et offensive."

STR_R3F_Minimi_762, "Minimi Para 7.62","Minimi Para 7.62"
STR_R3F_Minimi_762_DESC,"Airborne FN Minimi 7.62","FN Minimi Para 7.62"
STR_R3F_Minimi_762_LIB,"The Minimi 7.62, wich means 'MINI-MItraileuse', was developped by FN Herstal, in Belgium. It can fire 100 7.62 rounds magazine. It's used for defensive and offensive purpose.","La Minimi, qui veut dire MINI-MItraileuse, a été développée par la firme nationale de Herstal en Belgique. Elle peut tirer des chargeurs de 100 cartouches de 7.62mm. Elle est destinée à une utilisation défensive et offensive."

STR_R3F_Minimi_HG, "Minimi Para HG","Minimi Para HG"
STR_R3F_Minimi_HG_DESC,"Airborne FN Minimi with HandGrip","FN Minimi Para avec poignée"
STR_R3F_Minimi_HG_LIB,"The Minimi, wich means 'MINI-MItraileuse', was developped during the 70's by FN Herstal, in Belgium. It can fire 200 5.56 rounds magazine. It's used for defensive and offensive purpose. This version is equipped with an Handgrip","La Minimi, qui veut dire MINI-MItraileuse, a été inventée dans les années 70 par la firme nationale de Herstal en Belgique. Elle peut tirer des chargeurs de 200 cartouches en 5.56mm. Elle est destinée à une utilisation défensive et offensive. Cette version est équipée d'une poignée."

STR_R3F_Minimi_762_HG, "Minimi Para 7.62 HG","Minimi Para 7.62 HG"
STR_R3F_Minimi_762_HG_DESC,"Airborne FN Minimi 7.62 with HandGrip","FN Minimi Para 7.62 avec poignée"
STR_R3F_Minimi_762_HG_LIB,"The Minimi 7.62, wich means 'MINI-MItraileuse', was developped by FN Herstal, in Belgium. It can fire 100 7.62 rounds magazine. It's used for defensive and offensive purpose. This version is equipped with an Handgrip.","La Minimi, qui veut dire MINI-MItraileuse, a été développée par la firme nationale de Herstal en Belgique. Elle peut tirer des chargeurs de 100 cartouches de 7.62mm. Elle est destinée à une utilisation défensive et offensive. Cette version est équipée d'une poignée."

STR_R3F_HK417L, "HK417 20 inches","HK417 20 pouces"
STR_R3F_HK417L_DESC,"HK417 riffle 20 inches","Fusil HK417 20 pouces"
STR_R3F_HK417L_LIB,"HK417: Heckler and Koch rifle model 417. HK417 is a 7.62mm caliber NATO automatic repetition. It is equipped with a 20 inches floating barrel to improve the accuracy of the gun. Its effective range is 800m and the initial speed of its projectile is 815 m / s.","HK417 : Fusil Heckler and Koch modèle 417. Le HK417 est un calibre 7.62mm OTAN à répétition automatique. Il est équipé d'un canon suspendu de 20 pouces pour ameliorer la précision du fusil.  Sa portée efficace est de 800m et la Vitesse initiale de ses projectiles est de 815 m/s."
STR_R3F_HK417L_DES, "HK417 20 inches camo","HK417 20 pouces camo"

STR_R3F_HK417M, "HK417 16 inches","HK417 16 pouces"
STR_R3F_HK417M_DESC,"HK417 Riffle 16 inches","Fusil HK417 16 pouces"
STR_R3F_HK417M_LIB,"HK417: Heckler and Koch rifle model 417. HK417 is a 7.62mm caliber NATO automatic repetition. It is equipped with a 16 inches floating barrel to improve the accuracy of the gun. Its effective range is 800m and the initial speed of its projectile is 815 m / s.","HK417 : Fusil Heckler and Koch modèle 417. Le HK417 est un calibre 7.62mm OTAN à répétition automatique. Il est équipé d'un canon suspendu de 16 pouces pour ameliorer la précision du fusil.  Sa portée efficace est de 800m et la Vitesse initiale de ses projectiles est de 815 m/s."
STR_R3F_HK417M_DES, "HK417 16 inches camo","HK417 16 pouces camo"

STR_R3F_HK417M_HG, "HK417 16 inches HG","HK417 16 pouces HG"
STR_R3F_HK417M_HG_DESC,"HK417 Riffle 16 inches with HandGrip","Fusil HK417 16 pouces avec poignée"
STR_R3F_HK417M_HG_LIB,"HK417: Heckler and Koch rifle model 417. HK417 is a 7.62mm caliber NATO automatic repetition. It is equipped with a 16 inches floating barrel to improve the accuracy of the gun. Its effective range is 800m and the initial speed of its projectile is 815 m / s. This version is equipped with an HandGrip.","HK417 : Fusil Heckler and Koch modèle 417. Le HK417 est un calibre 7.62mm OTAN à répétition automatique. Il est équipé d'un canon suspendu de 16 pouces pour ameliorer la précision du fusil.  Sa portée efficace est de 800m et la Vitesse initiale de ses projectiles est de 815 m/s. Cette version est équipée d'une poignée."
STR_R3F_HK417M_HG_DES, "HK417 16 inches HG camo","HK417 16 pouces HG camo"

STR_R3F_HK417S, "HK417 12 inches","HK417 12 pouces"
STR_R3F_HK417S_DESC,"HK417 Riffle 12 inches","Fusil HK417 12 pouces"
STR_R3F_HK417S_LIB,"HK417: Heckler and Koch rifle model 417. HK417 is a 7.62mm caliber NATO automatic repetition. It is equipped with a 12 inches floating barrel to improve the accuracy of the gun. Its effective range is 800m and the initial speed of its projectile is 790 m / s.","HK417 : Fusil Heckler and Koch modèle 417. Le HK417 est un calibre 7.62mm OTAN à répétition automatique. Il est équipé d'un canon suspendu de 12 pouces pour ameliorer la précision du fusil.  Sa portée efficace est de 800m et la Vitesse initiale de ses projectiles est de 790 m/s."
STR_R3F_HK417S_DES, "HK417 12 inches HG camo","HK417 12 pouces HG camo"

STR_R3F_HK417S_HG, "HK417 12 inches HG","HK417 12 pouces HG"
STR_R3F_HK417S_HG_DESC,"HK417 Riffle 12 inches with HandGrip","Fusil HK417 12 pouces avec poignée"
STR_R3F_HK417S_HG_LIB,"HK417: Heckler and Koch rifle model 417. HK417 is a 7.62mm caliber NATO automatic repetition. It is equipped with a 12 inches floating barrel to improve the accuracy of the gun. Its effective range is 500m and the initial speed of its projectile is 480 m / s. This version is equipped with an HandGrip.","HK417 : Fusil Heckler and Koch modèle 417. Le HK417 est un calibre 7.62mm OTAN à répétition automatique. Il est équipé d'un canon suspendu de 12 pouces pour ameliorer la précision du fusil.  Sa portée efficace est de 500m et la Vitesse initiale de ses projectiles est de 480 m/s. Cette version est équipée d'une poignée."
STR_R3F_HK417S_HG_DES, "HK417 12 inches HG camo","HK417 12 pouces HG camo"








STR_R3F_HK416M, "HK416 14.5 inches","HK416 14.5 pouces"
STR_R3F_HK416M_DESC,"HK416 Riffle 14.5 inches","Fusil HK416 14.5 pouces"
STR_R3F_HK416M_LIB,"HK416: Heckler and Koch rifle model 417. HK416 is a 5.56mm caliber NATO automatic repetition. It is equipped with a 14.5 inches floating barrel to improve the accuracy of the gun. Its effective range is 400m and the initial speed of its projectile is 850 m / s.","HK416 : Fusil Heckler and Koch modèle 416. Le HK416 est un calibre 5.56mm OTAN à répétition automatique. Il est équipé d'un canon suspendu de 14.5 pouces pour ameliorer la précision du fusil.  Sa portée efficace est de 400m et la Vitesse initiale de ses projectiles est de 850 m/s."
STR_R3F_HK416M_DES, "HK416 14.5 inches camo","HK416 14.5 pouces camo"

STR_R3F_HK416M_HG, "HK416 14.5 inches HG","HK416 14.5 pouces HG"
STR_R3F_HK416M_HG_DESC,"HK416 Riffle 14.5 inches with HandGrip","Fusil HK416 14.5 pouces avec poignée"
STR_R3F_HK416M_HG_LIB,"HK416: Heckler and Koch rifle model 416. HK416 is a 5.56mm caliber NATO automatic repetition. It is equipped with a 14.5 inches floating barrel to improve the accuracy of the gun. Its effective range is 400m and the initial speed of its projectile is 850 m / s. This version is equipped with an HandGrip.","HK416 : Fusil Heckler and Koch modèle 416. Le HK416 est un calibre 5.56mm OTAN à répétition automatique. Il est équipé d'un canon suspendu de 14.5 pouces pour ameliorer la précision du fusil.  Sa portée efficace est de 400m et la Vitesse initiale de ses projectiles est de 850 m/s. Cette version est équipée d'une poignée."
STR_R3F_HK416M_HG_DES, "HK416 14.5 inches HG camo","HK416 14.5 pouces HG camo"



STR_R3F_MP5SD, "MP5 SD6","MP5 SD6"
STR_R3F_MP5SD_DESC,"HK MP5 SD6 Riffle","Fusil HK MP5 SD6"
STR_R3F_MP5SD_LIB,"MP5 SD6: Heckler and Koch rifle model MP5. MP5 is a 9mm caliber NATO automatic repetition. It is equipped with an integrated silencer","MP5 SD6: Fusil Heckler and Koch modèle MP5. Le MP5 est un calibre 9mm OTAN à répétition automatique. Il est équipé d'un silencieux intégré"


STR_R3F_PAMAS, "PAMAS","PAMAS"
STR_R3F_PAMAS_DESC,"PAMAS G1 9mm pistol","Pistolet PAMAS G1 9mm"
STR_R3F_PAMAS_LIB,"PAMAS G1 9mm pistol","Pistolet PAMAS G1 9mm"


STR_R3F_AT4CS,"AT4 CS","AT4 CS"
STR_R3F_AT4CS_DESC,"AT4 CS Rocket launcher","lance-roquettes AT4 CS"
STR_R3F_AT4CS_LIB,"The AT4 CS is a rocket launcher Anti-tank for Confined Space (CS) to 84mm (Eighty Four = AT4). Its weight is 7.6kg for 1.04m long. It has a range of 25m to 200m on moving target, and 300m on fixed target.","L'AT4 CS est un lance-roquettes Anti-char pour confined space (CS) de 84mm (Eighty Four = AT4). Sa masse est de 7.6Kg pour 1.04m de longueur. Il a une portée de 25m à 200m sur objectif mobile, et de 300m sur objectif fixe."

STR_R3F_ERYX,"ERYX","ERYX"
STR_R3F_ERYX_DESC,"ERYX Missile launcher","lance-missile ERYX"
STR_R3F_ERYX_LIB,"The ERYX is a 136mm Anti-tank missile launcher for modern armor. Its weight is 13kg for 0.9m long. It has a range of 600m on moving target","L'ERYX est un lance-missile Anti-char de 136mm efficace contre les blindages modernes. Sa masse est de 13Kg pour 0.9m de longueur. Il a une portée de 600m sur objectif mobile."

STR_R3F_STINGER,"STINGER","STINGER"
STR_R3F_STINGER_DESC,"STINGER AA launcher","lanceur AA STINGER"
STR_R3F_STINGER_LIB,"",""

STR_R3F_JIM_LR, "Jim LR Binoculars","Jumelles Jim LR"
STR_R3F_JIM_LR_DESC,"Optronic long range binoculars 2X-16X with laser designator ","Jumelles optroniques longue distance 2X-16X avec designateur Laser"
STR_R3F_JIM_LR_LIB,"JIM LR : Long Range infrared Binoculars. They belong to F.E.L.I.N. program. They are equipped with night vision, telemeter, laser pointer, magnetic compass and a GPS.","JIM LR : Les Jumelles Infrarouges Multifonctions Long Range. Elle font parties du programme F.E.L.I.N. Elles disposent d'une vision jour-nuit, d'un télémètre, d'un pointeur laser, d'un compas magnétique, et d'un GPS."
STR_R3F_JIM_LR_DES, "Jim LR Binoculars camo","Jumelles Jim LR camo"



STR_R3F_SIT_COMDE, "SIT COMDE tablet","Tablette SIT COMDE"
STR_R3F_SIT_COMDE_DESC,"SIT COMDE FELIN interface","Interface FELIN SIT COMDE"
STR_R3F_SIT_COMDE_LIB,"Le SIT COMDE, for terminal system of information for infantery fighter, use the R.I.F (Infantery information network) to obtain tactical informations of battlefield (location, pictures, videos...). It is part of the program FELIN and may, during an operation, capturing images of glasses FELIN to allow the group leader to have a better view of the battlefield and its objectives.","Le SIT COMDE, ou Système d’Information Terminal du COMbattant DEbarqué, utilise le R.I.F (Réseau d'Information du Fantassin) pour obtenir des informations tactiques du champ de bataille ( positions, images, vidéos ... etc). Il fait parti du programme F.E.L.I.N, et peut, lors d'une opération, capter les images de lunettes F.E.L.I.N pour permettre au chef de groupe d'avoir une meilleure vision du champ de bataille et de ses objectifs."

STR_R3F_WeaponBox, "R3F Standard weapon Box","Caisse standard d'armes R3F"
STR_R3F_WeaponBox_DESC,"R3F Standard weapon Box","Caisse standard d'armes R3F"
STR_R3F_WeaponBox_LIB,"",""

STR_R3F_WeaponBox_Full, "R3F Full weapon Box","Caisse étendue d'armes R3F"
STR_R3F_WeaponBox_Full_DESC,"R3F Full weapon Box","Caisse étendue d'armes R3F"
STR_R3F_WeaponBox_Full_LIB,"",""

STR_R3F_WeaponBox_Full_NoTherm, "R3F Full weapon Box with no Thermal","Caisse étendue d'armes R3F sans thermique"
STR_R3F_WeaponBox_Full_NoTherm_DESC,"R3F Full weapon Box with no Thermal","Caisse étendue d'armes R3F sans thermique"
STR_R3F_WeaponBox_Full_NoTherm_LIB,"",""


STR_R3F_WeaponStock, "R3F Weapon stock","Stock d'armes R3F"
STR_R3F_WeaponStock_DESC,"R3F Weapon stock","Stock d'armes R3F"
STR_R3F_WeaponStock_LIB,"",""

STR_R3F_M203,"M203 Grenade launcher","Lance Grenade M203"

STR_R3F_SAFE,"SAFETY","CRAN DE SURETE"

STR_R3F_LIB,"Work in progress", "En construction"

STR_R3F_SILENCIEUX_FAMAS, "FAMAS Silencer","Silencieux FAMAS"
STR_R3F_SILENCIEUX_FAMAS_DESC,"Silencer for FAMAS 5.56mm caliber","Silencieux pour FAMAS calibre 5.56mm"
STR_R3F_SILENCIEUX_FAMAS_LIB,"Silencer for FAMAS 5.56mm caliber","Silencieux pour FAMAS calibre 5.56mm"
STR_R3F_SILENCIEUX_FAMAS_DES, "FAMAS Silencer camo","Silencieux FAMAS camo"

STR_R3F_SILENCIEUX_HK416, "HK 416 Silencer","Silencieux HK 416"
STR_R3F_SILENCIEUX_HK416_DESC,"Silencer for HK 416 5.56mm caliber","Silencieux pour HK 416 calibre 5.56mm"
STR_R3F_SILENCIEUX_HK416_LIB,"Silencer for HK 416 5.56mm caliber","Silencieux pour HK 416 calibre 5.56mm"
STR_R3F_SILENCIEUX_HK416_DES, "HK 416 Silencer camo","Silencieux HK 416 camo"

STR_R3F_SILENCIEUX_HK417, "HK 417 Silencer","Silencieux HK 417"
STR_R3F_SILENCIEUX_HK417_DESC,"Silencer for HK 417 7.62mm caliber","Silencieux pour HK 417 calibre 7.62mm"
STR_R3F_SILENCIEUX_HK417_LIB,"Silencer for HK 417 7.62mm caliber","Silencieux pour HK 417 calibre 7.62mm"
STR_R3F_SILENCIEUX_HK417_DES, "HK 417 Silencer camo","Silencieux HK 417 camo"

STR_R3F_SILENCIEUX_FRF2, "FRF2 Silencer","Silencieux FRF2"
STR_R3F_SILENCIEUX_FRF2_DESC,"Silencer for FRF2 7.62mm caliber","Silencieux pour FRF2 calibre 7.62mm"
STR_R3F_SILENCIEUX_FRF2_LIB,"Silencer for FRF2 7.62mm caliber","Silencieux pour FRF2 calibre 7.62mm"
STR_R3F_SILENCIEUX_FRF2_DES, "FRF2 Silencer camo","Silencieux FRF2 camo"

















